QueryId,EntityId
002,0366601
002,3957054
002,0430530
002,1850915
002,3572540
002,3494659
002,0758546
002,0955969
002,0430506
002,3192913
002,0430575
002,1255621
002,1967760
002,1139430
002,0430488
002,3673716
002,0430448
002,3894684
002,1101026
002,1280403
002,0946959
002,3305322
002,2713857
002,2367833
002,4196645
002,0551044
002,2496309
002,3414021
002,3670585
002,0817760
002,1634558
002,3576502
002,0430572
002,3877176
002,0741013
002,3672135
002,3894680
002,3261983
002,2813696
002,2591340
002,3402382
002,0371051
002,0267116
002,4284991
002,4406240
002,1992343
002,1163330
002,3894685
002,3262932
002,1024568
002,3893964
002,3672076
002,3335758
002,1862418
002,3321778
002,3576372
002,0483889
002,0342656
002,1240725
002,0430520
002,3890797
002,1300873
002,3684103
002,3651172
002,3841277
002,3576510
002,2612362
002,0430423
002,0430538
002,0430539
002,0004810
002,0013679
002,0430560
002,2510925
002,2496331
002,3893644
002,0430339
002,0189567
002,0174930
002,0187656
002,0181576
002,0183616
002,0013761
002,0178628
002,0006125
002,0013744
002,1357437
002,0430449
002,3576756
002,2770544
002,0558189
002,0430462
002,1888114
002,0213655
002,0430444
002,3016289
002,0170169
002,0430461
002,3736012
002,0985145
004,0573230
004,3066121
004,1842323
004,3145670
004,0759613
004,3138463
004,3645297
004,0708945
004,3647145
004,0187975
004,3461656
004,3066141
004,3726582
004,4558165
004,1253745
004,3139409
004,3138808
004,1503681
004,0386673
004,0183880
004,0569666
004,3463060
004,2946833
004,0569628
004,2198673
004,3146219
004,3138698
004,0569665
004,2684843
004,3125581
004,3899932
004,3358839
004,0186648
004,0573225
004,2505507
004,1735715
004,3591707
004,2858493
004,2266578
004,0186149
004,1473821
004,2836512
004,1035433
004,3138975
004,2602847
004,2262615
004,0175783
004,0169660
004,3138582
004,1453352
004,4145557
004,2531840
004,0006348
004,1300992
004,4332527
004,2097820
004,0720378
004,2469853
004,1720167
004,2480535
004,0166380
004,1046050
004,4152016
004,3857178
004,3139014
004,3145672
004,0006798
004,3213795
004,1503880
004,0563289
004,0182035
004,3139815
004,1308772
004,0585996
004,3125812
004,0316178
004,0524915
004,2664417
004,4067960
004,1741321
004,3138186
004,1738776
004,3138499
004,3406500
004,3978727
004,4618186
004,1419328
004,4248325
004,2128341
